Contest	Selection	CountItemType	Count
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Isaac Burke	absentee-mail	15
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Isaac Burke	early	197
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Isaac Burke	election-day	1178
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Isaac Burke	provisional	6
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Isaac Burke	total	1396
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	Da'Quan Marcell Love	absentee-mail	12
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	Da'Quan Marcell Love	early	1034
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	Da'Quan Marcell Love	election-day	3836
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	Da'Quan Marcell Love	provisional	20
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	Da'Quan Marcell Love	total	4902
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	William Vann	absentee-mail	6
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	William Vann	early	276
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	William Vann	election-day	1521
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	William Vann	provisional	8
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Democratic Party	William Vann	total	1811
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Jimmy Dixon	absentee-mail	26
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Jimmy Dixon	early	762
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Jimmy Dixon	election-day	4714
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Jimmy Dixon	provisional	28
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Jimmy Dixon	total	5530
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Nathan Ray Riggs	absentee-mail	2
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Nathan Ray Riggs	early	121
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Nathan Ray Riggs	election-day	411
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Nathan Ray Riggs	provisional	7
North Carolina;General Assembly House of Representatives District 4 Primary;North Carolina Republican Party	Nathan Ray Riggs	total	541
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Elmer Floyd	absentee-mail	22
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Elmer Floyd	early	2916
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Elmer Floyd	election-day	4830
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Elmer Floyd	provisional	6
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Elmer Floyd	total	7774
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Prince Christian	absentee-mail	0
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Prince Christian	early	49
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Prince Christian	election-day	82
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Prince Christian	provisional	2
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Prince Christian	total	133
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Theresa Gale	absentee-mail	1
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Theresa Gale	early	348
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Theresa Gale	election-day	541
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Theresa Gale	provisional	1
North Carolina;General Assembly House of Representatives District 43 Primary;North Carolina Democratic Party	Theresa Gale	total	891
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Linda Devore	absentee-mail	10
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Linda Devore	early	512
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Linda Devore	election-day	2534
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Linda Devore	provisional	6
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Linda Devore	total	3062
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Patrick Petsche	absentee-mail	4
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Patrick Petsche	early	172
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Patrick Petsche	election-day	578
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Patrick Petsche	provisional	4
North Carolina;General Assembly House of Representatives District 44 Primary;North Carolina Republican Party	Patrick Petsche	total	758
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Jarrod Lowery	absentee-mail	10
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Jarrod Lowery	early	390
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Jarrod Lowery	election-day	740
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Jarrod Lowery	provisional	4
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Jarrod Lowery	total	1144
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Tom Norton	absentee-mail	1
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Tom Norton	early	130
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Tom Norton	election-day	252
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Tom Norton	provisional	1
North Carolina;General Assembly House of Representatives District 47 Primary;North Carolina Republican Party	Tom Norton	total	384
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	John W. Imbaratto	absentee-mail	6
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	John W. Imbaratto	early	185
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	John W. Imbaratto	election-day	256
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	John W. Imbaratto	provisional	0
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	John W. Imbaratto	total	447
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	Russell Walker	absentee-mail	16
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	Russell Walker	early	542
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	Russell Walker	election-day	1088
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	Russell Walker	provisional	2
North Carolina;General Assembly House of Representatives District 48 Primary;North Carolina Republican Party	Russell Walker	total	1648
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Jamie Boles	absentee-mail	122
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Jamie Boles	early	2234
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Jamie Boles	election-day	9856
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Jamie Boles	provisional	22
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Jamie Boles	total	12234
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Ken Byrd	absentee-mail	40
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Ken Byrd	early	886
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Ken Byrd	election-day	3079
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Ken Byrd	provisional	10
North Carolina;General Assembly House of Representatives District 52 Primary;North Carolina Republican Party	Ken Byrd	total	4015
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Alan Longman	absentee-mail	3
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Alan Longman	early	119
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Alan Longman	election-day	341
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Alan Longman	provisional	4
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Alan Longman	total	467
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Richard Chapman	absentee-mail	24
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Richard Chapman	early	862
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Richard Chapman	election-day	2368
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Richard Chapman	provisional	26
North Carolina;General Assembly House of Representatives District 53 Primary;North Carolina Democratic Party	Richard Chapman	total	3280
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Amos Quick	absentee-mail	34
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Amos Quick	early	1714
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Amos Quick	election-day	6550
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Amos Quick	provisional	2
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Amos Quick	total	8300
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Katelyn (Kate) Flippen	absentee-mail	10
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Katelyn (Kate) Flippen	early	172
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Katelyn (Kate) Flippen	election-day	844
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Katelyn (Kate) Flippen	provisional	1
North Carolina;General Assembly House of Representatives District 58 Primary;North Carolina Democratic Party	Katelyn (Kate) Flippen	total	1027
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Jon Hardister	absentee-mail	42
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Jon Hardister	early	720
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Jon Hardister	election-day	4622
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Jon Hardister	provisional	0
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Jon Hardister	total	5384
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Karen C. Albright	absentee-mail	0
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Karen C. Albright	early	36
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Karen C. Albright	election-day	170
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Karen C. Albright	provisional	0
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Karen C. Albright	total	206
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Mark McDaniel	absentee-mail	7
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Mark McDaniel	early	109
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Mark McDaniel	election-day	896
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Mark McDaniel	provisional	1
North Carolina;General Assembly House of Representatives District 59 Primary;North Carolina Republican Party	Mark McDaniel	total	1013
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Beverly Boswell	absentee-mail	8
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Beverly Boswell	early	772
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Beverly Boswell	election-day	2423
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Beverly Boswell	provisional	5
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Beverly Boswell	total	3208
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Bobby Hanig	absentee-mail	60
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Bobby Hanig	early	2118
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Bobby Hanig	election-day	5050
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Bobby Hanig	provisional	14
North Carolina;General Assembly House of Representatives District 6 Primary;North Carolina Republican Party	Bobby Hanig	total	7242
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Cathy Von Hassel-Davies	absentee-mail	7
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Cathy Von Hassel-Davies	early	224
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Cathy Von Hassel-Davies	election-day	903
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Cathy Von Hassel-Davies	provisional	3
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Cathy Von Hassel-Davies	total	1137
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Elliott Lynch	absentee-mail	4
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Elliott Lynch	early	320
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Elliott Lynch	election-day	1670
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Elliott Lynch	provisional	6
North Carolina;General Assembly House of Representatives District 64 Primary;North Carolina Democratic Party	Elliott Lynch	total	2000
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Michael H. (Mike) Lee	absentee-mail	20
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Michael H. (Mike) Lee	early	724
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Michael H. (Mike) Lee	election-day	2034
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Michael H. (Mike) Lee	provisional	10
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Michael H. (Mike) Lee	total	2788
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Wally White	absentee-mail	3
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Wally White	early	343
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Wally White	election-day	1004
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Wally White	provisional	1
North Carolina;General Assembly House of Representatives District 65 Primary;North Carolina Democratic Party	Wally White	total	1351
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Justin P. Burr	absentee-mail	24
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Justin P. Burr	early	824
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Justin P. Burr	election-day	3012
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Justin P. Burr	provisional	14
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Justin P. Burr	total	3874
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Wayne Sasser	absentee-mail	106
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Wayne Sasser	early	2638
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Wayne Sasser	election-day	7110
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Wayne Sasser	provisional	46
North Carolina;General Assembly House of Representatives District 67 Primary;North Carolina Republican Party	Wayne Sasser	total	9900
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Glen Bradley	absentee-mail	3
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Glen Bradley	early	170
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Glen Bradley	election-day	742
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Glen Bradley	provisional	5
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Glen Bradley	total	920
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Lisa Stone Barnes	absentee-mail	24
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Lisa Stone Barnes	early	964
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Lisa Stone Barnes	election-day	3410
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Lisa Stone Barnes	provisional	8
North Carolina;General Assembly House of Representatives District 7 Primary;North Carolina Republican Party	Lisa Stone Barnes	total	4406
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Bryson Kiel Jones	absentee-mail	9
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Bryson Kiel Jones	early	440
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Bryson Kiel Jones	election-day	995
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Bryson Kiel Jones	provisional	6
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Bryson Kiel Jones	total	1450
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Jerry E. Langley	absentee-mail	100
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Jerry E. Langley	early	2712
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Jerry E. Langley	election-day	3822
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Jerry E. Langley	provisional	8
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Democratic Party	Jerry E. Langley	total	6642
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Jim Chesnutt	absentee-mail	2
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Jim Chesnutt	early	348
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Jim Chesnutt	election-day	823
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Jim Chesnutt	provisional	1
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Jim Chesnutt	total	1174
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Keith Kidwell	absentee-mail	36
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Keith Kidwell	early	2304
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Keith Kidwell	election-day	6004
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Keith Kidwell	provisional	8
North Carolina;General Assembly House of Representatives District 79 Primary;North Carolina Republican Party	Keith Kidwell	total	8352
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Ernest T. Reeves	absentee-mail	8
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Ernest T. Reeves	early	252
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Ernest T. Reeves	election-day	533
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Ernest T. Reeves	provisional	6
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Ernest T. Reeves	total	799
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Kandie D. Smith	absentee-mail	132
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Kandie D. Smith	early	2180
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Kandie D. Smith	election-day	3210
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Kandie D. Smith	provisional	60
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Kandie D. Smith	total	5582
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Mildred Atkinson Council	absentee-mail	69
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Mildred Atkinson Council	early	784
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Mildred Atkinson Council	election-day	1122
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Mildred Atkinson Council	provisional	13
North Carolina;General Assembly House of Representatives District 8 Primary;North Carolina Democratic Party	Mildred Atkinson Council	total	1988
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Roger Younts	absentee-mail	41
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Roger Younts	early	986
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Roger Younts	election-day	2067
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Roger Younts	provisional	4
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Roger Younts	total	3098
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Steve Jarvis	absentee-mail	76
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Steve Jarvis	early	5034
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Steve Jarvis	election-day	7618
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Steve Jarvis	provisional	14
North Carolina;General Assembly House of Representatives District 80 Primary;North Carolina Republican Party	Steve Jarvis	total	12742
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Eric S. Osborne	absentee-mail	33
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Eric S. Osborne	early	1116
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Eric S. Osborne	election-day	1679
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Eric S. Osborne	provisional	7
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Eric S. Osborne	total	2835
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Larry W. Potts	absentee-mail	120
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Larry W. Potts	early	5978
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Larry W. Potts	election-day	9266
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Larry W. Potts	provisional	30
North Carolina;General Assembly House of Representatives District 81 Primary;North Carolina Republican Party	Larry W. Potts	total	15394
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Earle Schecter	absentee-mail	9
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Earle Schecter	early	98
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Earle Schecter	election-day	217
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Earle Schecter	provisional	1
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Earle Schecter	total	325
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Gail Young	absentee-mail	68
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Gail Young	early	488
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Gail Young	election-day	1532
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Gail Young	provisional	8
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Gail Young	total	2096
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Senah Andrews	absentee-mail	19
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Senah Andrews	early	208
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Senah Andrews	election-day	794
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Senah Andrews	provisional	3
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Democratic Party	Senah Andrews	total	1024
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Larry G. Pittman	absentee-mail	42
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Larry G. Pittman	early	1278
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Larry G. Pittman	election-day	3864
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Larry G. Pittman	provisional	8
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Larry G. Pittman	total	5192
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Michael Anderson	absentee-mail	9
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Michael Anderson	early	386
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Michael Anderson	election-day	1086
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Michael Anderson	provisional	4
North Carolina;General Assembly House of Representatives District 83 Primary;North Carolina Republican Party	Michael Anderson	total	1485
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Robert Griner	absentee-mail	4
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Robert Griner	early	183
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Robert Griner	election-day	213
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Robert Griner	provisional	0
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Robert Griner	total	400
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Tim Barnsback	absentee-mail	36
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Tim Barnsback	early	1198
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Tim Barnsback	election-day	1402
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Tim Barnsback	provisional	0
North Carolina;General Assembly House of Representatives District 86 Primary;North Carolina Democratic Party	Tim Barnsback	total	2636
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Benton Blaine	absentee-mail	3
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Benton Blaine	early	38
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Benton Blaine	election-day	223
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Benton Blaine	provisional	0
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Benton Blaine	total	264
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Ty Turner	absentee-mail	4
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Ty Turner	early	122
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Ty Turner	election-day	740
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Ty Turner	provisional	0
North Carolina;General Assembly House of Representatives District 88 Primary;North Carolina Republican Party	Ty Turner	total	866
North Carolina;General Assembly House of Representatives District 90 Primary;North Carolina Republican Party	Allen Poindexter	absentee-mail	36
North Carolina;General Assembly House of Representatives District 90 Primary;North Carolina Republican Party	Allen Poindexter	early	1300
North Carolina;General Assembly House of Representatives District 90 Primary;North Carolina Republican Party	Allen Poindexter	election-day	2720
North Carolina;General Assembly House of Representatives District 90 Primary;North Carolina Republican Party	Allen Poindexter	provisional	22
North Carolina;General Assembly House of Representatives District 90 Primary;North Carolina Republican Party	Allen Poindexter	total	4078
