Contest	Selection	Count
North Carolina;General Assembly Senate District 34	Vickie Sawyer	109270
North Carolina;General Assembly Senate District 35	Caroline L. Walker	31188
North Carolina;General Assembly Senate District 35	Todd Johnson	49848
North Carolina;General Assembly Senate District 36	Mark E. Shelley	34416
North Carolina;General Assembly Senate District 36	Paul R. Newton	44938
North Carolina;General Assembly Senate District 37	Jeff Jackson	52261
North Carolina;General Assembly Senate District 37	Nora Trotman	13395
North Carolina;General Assembly Senate District 37	Stuart Andrew Collins	1301
North Carolina;General Assembly Senate District 38	Mujtaba A. Mohammed	107126
North Carolina;General Assembly Senate District 38	Richard Rivette	11972
North Carolina;General Assembly Senate District 39	Chad Stachowicz	88546
North Carolina;General Assembly Senate District 39	Dan Bishop	99396
North Carolina;General Assembly Senate District 4	Jesse Shearin	1264
North Carolina;General Assembly Senate District 4	Milton F. (Toby) Fitch, Jr.	36459
North Carolina;General Assembly Senate District 4	Richard Scott	25382
North Carolina;General Assembly Senate District 40	Joyce Waddell	44773
North Carolina;General Assembly Senate District 40	Mr. Bobbie Shields	14426
North Carolina;General Assembly Senate District 41	Jeff Tarte	37536
North Carolina;General Assembly Senate District 41	Natasha Marcus	49459
North Carolina;General Assembly Senate District 42	Andy Wells	88646
North Carolina;General Assembly Senate District 42	Ric Vandett	22522
North Carolina;General Assembly Senate District 43	Altriese Price	22881
North Carolina;General Assembly Senate District 43	Kathy Harrington	42906
North Carolina;General Assembly Senate District 43	Mitchell D. Bridges	1900
North Carolina;General Assembly Senate District 44	David Lee Lattimore	21204
North Carolina;General Assembly Senate District 44	Ted Alexander	93722
North Carolina;General Assembly Senate District 45	Deanna Ballard	97994
North Carolina;General Assembly Senate District 45	Wes Luther	26293
North Carolina;General Assembly Senate District 46	Art Sherwood	18218
North Carolina;General Assembly Senate District 46	Warren Daniel	42445
North Carolina;General Assembly Senate District 47	David Wheeler	53554
North Carolina;General Assembly Senate District 47	Ralph Hise	44305
North Carolina;General Assembly Senate District 48	Chuck Edwards	49073
North Carolina;General Assembly Senate District 48	Norm Bossert	38147
North Carolina;General Assembly Senate District 49	Lyndon John Smith	2290
North Carolina;General Assembly Senate District 49	Mark Crawford	32519
North Carolina;General Assembly Senate District 49	Terry Van Duyn	61092
North Carolina;General Assembly Senate District 5	Don Davis	72642
North Carolina;General Assembly Senate District 5	Kimberly Robb	58634
North Carolina;General Assembly Senate District 50	Bobby Kuppers	31851
North Carolina;General Assembly Senate District 50	Jim Davis	48387
North Carolina;General Assembly Senate District 6	Harry Brown	27228
North Carolina;General Assembly Senate District 6	Joseph (Joe) Webb	14615
North Carolina;General Assembly Senate District 7	David B. Brantley	25940
North Carolina;General Assembly Senate District 7	Louis Milford Pate, Jr.	30329
North Carolina;General Assembly Senate District 8	Anthony H. Mascolo	5528
North Carolina;General Assembly Senate District 8	Bill Rabon	55024
North Carolina;General Assembly Senate District 8	David W. Sink, Jr.	36191
North Carolina;General Assembly Senate District 9	Ethan Bickley	2671
North Carolina;General Assembly Senate District 9	Harper Peterson	42257
North Carolina;General Assembly Senate District 9	Michael Lee	42026
North Carolina;US Congress House of Representatives District 1	G. K. Butterfield	190445
North Carolina;US Congress House of Representatives District 1	Roger W. Allison	82209
North Carolina;US Congress House of Representatives District 10	David Wilson Brown	113259
North Carolina;US Congress House of Representatives District 10	Patrick McHenry	329938
North Carolina;US Congress House of Representatives District 11	Clifton B. Ingram, Jr.	6146
North Carolina;US Congress House of Representatives District 11	Mark Meadows	356024
North Carolina;US Congress House of Representatives District 11	Phillip G. Price	233016
North Carolina;US Congress House of Representatives District 12	Alma Adams	407948
North Carolina;US Congress House of Representatives District 12	Paul Wright	150328
North Carolina;US Congress House of Representatives District 13	Kathy Manning	260804
North Carolina;US Congress House of Representatives District 13	Robert Corriher	2831
North Carolina;US Congress House of Representatives District 13	Ted Budd	147570
North Carolina;US Congress House of Representatives District 13	Tom Bailey	5513
North Carolina;US Congress House of Representatives District 2	George Holding	340100
North Carolina;US Congress House of Representatives District 2	Jeff Matemu	9654
North Carolina;US Congress House of Representatives District 2	Linda Coleman	303932
North Carolina;US Congress House of Representatives District 3	Walter B. Jones	375802
North Carolina;US Congress House of Representatives District 4	Barbara Howe	24568
North Carolina;US Congress House of Representatives District 4	David Price	494134
North Carolina;US Congress House of Representatives District 4	Steve A. (Von) Loor	82052
North Carolina;US Congress House of Representatives District 5	DD Adams	240924
North Carolina;US Congress House of Representatives District 5	Virginia Foxx	319830
North Carolina;US Congress House of Representatives District 6	B. Mark Walker	160636
North Carolina;US Congress House of Representatives District 6	Ryan Watts	247202
North Carolina;US Congress House of Representatives District 7	David Rouzer	156797
North Carolina;US Congress House of Representatives District 7	David W. Fallin	4665
North Carolina;US Congress House of Representatives District 7	Kyle Horton	241608
North Carolina;US Congress House of Representatives District 8	Frank McNeill	228114
North Carolina;US Congress House of Representatives District 8	Richard Hudson	141371
North Carolina;US Congress House of Representatives District 9	Dan McCready	276682
North Carolina;US Congress House of Representatives District 9	Jeff Scott	5130
North Carolina;US Congress House of Representatives District 9	Mark Harris	278492
PROTECT RIGHT TO HUNT AND FISH	Against	1563000
PROTECT RIGHT TO HUNT AND FISH	For	2082912
REQUIRE PHOTO ID TO VOTE	Against	1643861
REQUIRE PHOTO ID TO VOTE	For	2048930
SCOTLAND COUNTY LOCAL SALES AND USE TAX	Against	6832
SCOTLAND COUNTY LOCAL SALES AND USE TAX	For	3253
STANLY COUNTY LOCAL SALES AND USE TAX	Against	10834
STANLY COUNTY LOCAL SALES AND USE TAX	For	11202
STRENGTHENING VICTIMS RIGHTS	Against	1381944
STRENGTHENING VICTIMS RIGHTS	For	2266965
SWAIN COUNTY LOCAL SALES AND USE TAX	Against	2346
SWAIN COUNTY LOCAL SALES AND USE TAX	For	2791
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #1	Against	553
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #1	For	964
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #2	Against	650
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #2	For	744
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #3	Against	714
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #3	For	661
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #4	Against	564
TOWN OF BOILING SPRINGS MALT BEVERAGE ELECTION #4	For	881
TOWN OF BOILING SPRINGS UNFORTIFIED WINE ELECTION #1	Against	537
TOWN OF BOILING SPRINGS UNFORTIFIED WINE ELECTION #1	For	973
TOWN OF BOILING SPRINGS UNFORTIFIED WINE ELECTION #2	Against	659
TOWN OF BOILING SPRINGS UNFORTIFIED WINE ELECTION #2	For	727
TOWN OF BOILING SPRINGS UNFORTIFIED WINE ELECTION #3	Against	702
TOWN OF BOILING SPRINGS UNFORTIFIED WINE ELECTION #3	For	678
TOWN OF CEDAR POINT PARKS AND RECREATION BOND	No	242
TOWN OF CEDAR POINT PARKS AND RECREATION BOND	Yes	527
TOWN OF CHAPEL HILL AFFORDABLE HOUSING BONDS	No	7285
TOWN OF CHAPEL HILL AFFORDABLE HOUSING BONDS	Yes	18518
TOWN OF CORNELIUS TRANSPORTATION BONDS	No	3790
TOWN OF CORNELIUS TRANSPORTATION BONDS	Yes	9002
TOWN OF HOLLY SPRINGS TRANSPORTATION IMPROVEMENTS BONDS	No	5667
TOWN OF HOLLY SPRINGS TRANSPORTATION IMPROVEMENTS BONDS	Yes	8494
TOWN OF HOPE MILLS CHARTER AMENDMENT	No	2618
TOWN OF HOPE MILLS CHARTER AMENDMENT	Yes	1972
TOWN OF LONG VIEW MIXED BEVERAGE ELECTION	Against	558
TOWN OF LONG VIEW MIXED BEVERAGE ELECTION	For	634
TOWN OF MINT HILL PARKS AND RECREATION BONDS	No	5779
TOWN OF MINT HILL PARKS AND RECREATION BONDS	Yes	5120
TOWN OF MINT HILL PUBLIC FACILITY BONDS	No	5664
TOWN OF MINT HILL PUBLIC FACILITY BONDS	Yes	5130
TOWN OF PIKEVILLE MIXED BEVERAGE ELECTION	Against	109
TOWN OF PIKEVILLE MIXED BEVERAGE ELECTION	For	154
TOWN OF RED SPRINGS MIXED BEVERAGE ELECTION	Against	391
TOWN OF RED SPRINGS MIXED BEVERAGE ELECTION	For	679
TOWN OF SUMMERFIELD REFERENDUM 1	No	2356
TOWN OF SUMMERFIELD REFERENDUM 1	Yes	2800
TOWN OF SUMMERFIELD REFERENDUM 2	No	3491
TOWN OF SUMMERFIELD REFERENDUM 2	Yes	1636
TOWN OF TABOR CITY MIXED BEVERAGE ELECTION	Against	389
TOWN OF TABOR CITY MIXED BEVERAGE ELECTION	For	400
TRANSYLVANIA COUNTY GENERAL OBLIGATION SCHOOL BOND	No	6297
TRANSYLVANIA COUNTY GENERAL OBLIGATION SCHOOL BOND	Yes	9313
UNION COUNTY PUBLIC FACILITY BONDS	No	48074
UNION COUNTY PUBLIC FACILITY BONDS	Yes	34334
UNION COUNTY PUBLIC SAFETY BONDS	No	38478
UNION COUNTY PUBLIC SAFETY BONDS	Yes	44322
WAKE CO. PARKS, GREENWAYS, RECREATION, AND OPEN SPACE BONDS	No	136310
WAKE CO. PARKS, GREENWAYS, RECREATION, AND OPEN SPACE BONDS	Yes	290019
WAKE COUNTY COMMUNITY COLLEGE BONDS	No	148324
WAKE COUNTY COMMUNITY COLLEGE BONDS	Yes	276279
WAKE COUNTY SCHOOL BONDS	No	141528
WAKE COUNTY SCHOOL BONDS	Yes	283769
WAYNE COUNTY LOCAL SALES AND USE TAX	Against	20574
WAYNE COUNTY LOCAL SALES AND USE TAX	For	15245
