BallotName	Party
MICHAEL PATRICK MASKELL 	Independent
MURRAY BENJAMIN DAVENPORT 	Independent
PAUL FREDERICK DAY 	Independent
PIERI EVAN BURTON 	Independent
RICHARD WILHELM KOWALEWITCH 	Independent
ROBERT M DYER 	Independent
ROBERT NICHOLAS MELATTI 	Independent
SABRINA DEVON WOOTEN 	Independent
SEKO BENJAMIN-ERIC VARNER 	Independent
SHARON RUTH  FELTON 	Independent
STEPHEN AUGUST JOHNSTON 	Independent
SUSANNE MARIE HENDERSON 	Independent
TIMOTHY PATRICK WORST 	Independent
DEBERA ANN TAYLOR 	Republican
EVAN HALE CLARK 	Democratic
JUDITH ANN MCKIERNAN 	Democratic
KIM MARIE HERBSTRITT 	Democratic
MILTON FLOYD MCINTURFF 	Republican
TERESE SHAHODA MERRILL 	Democratic
WILLIAM DAWSON WILEY 	Republican
