BallotName	Party	
"Vince Rozier, Jr."	DEM	North Carolina Democratic Party
Keith Gregory	DEM	North Carolina Democratic Party
Matt Van Sickle	UNA	North Carolina Unaffiliated Voter
Claire V. Hill	DEM	North Carolina Democratic Party
"James (Jim) Floyd Ammons, Jr."	UNA	North Carolina Unaffiliated Voter
Mary Ann Tally	DEM	North Carolina Democratic Party
Ola M. Lewis	REP	North Carolina Republican Party
"James E. (Jim) Hardin, Jr."	DEM	North Carolina Democratic Party
Michael O'Foghludha	DEM	North Carolina Democratic Party
Dawn Baxton	DEM	North Carolina Democratic Party
Josephine Kerr Davis	DEM	North Carolina Democratic Party
Tom Lambeth	DEM	North Carolina Democratic Party
Andy Hanford	DEM	North Carolina Democratic Party
Pat Nadolski	REP	North Carolina Republican Party
Mark T. Cummings	DEM	North Carolina Democratic Party
Lora Christine Cubbage	DEM	North Carolina Democratic Party
Joe Craig	UNA	North Carolina Unaffiliated Voter
Gavin Reardon	DEM	North Carolina Democratic Party
William A. (Bill) Wood	DEM	North Carolina Democratic Party
James P. (Jimmy) Hill	REP	North Carolina Republican Party
Anna Mills Wagoner	REP	North Carolina Republican Party
Gregory B. Thompson	DEM	North Carolina Democratic Party
Michael (Mike) Stone	REP	North Carolina Republican Party
Chris Bragg	REP	North Carolina Republican Party
Gary Gavenus	REP	North Carolina Republican Party
Robert C. (Bob) Ervin	DEM	North Carolina Democratic Party
Nathaniel (Nathan) J. Poovey	REP	North Carolina Republican Party
Reggie E. McKnight	DEM	North Carolina Democratic Party
George Bell	REP	North Carolina Republican Party
Howard L. Clark III	DEM	North Carolina Democratic Party
Donnie Hoover	DEM	North Carolina Democratic Party
Karen Eady-Williams	DEM	North Carolina Democratic Party
Lou Trosch	DEM	North Carolina Democratic Party
David A. Phillips	DEM	North Carolina Democratic Party
Forrest Donald Bridges	DEM	North Carolina Democratic Party
Marvin P. Pope	DEM	North Carolina Democratic Party
Alan Thornburg	DEM	North Carolina Democratic Party
Bradley B. Letts	DEM	North Carolina Democratic Party
Mark Melrose	DEM	North Carolina Democratic Party
Anita Earls	DEM	North Carolina Democratic Party
Barbara Jackson	REP	North Carolina Republican Party
Christopher (Chris) Anglin	REP	North Carolina Republican Party
G. K. Butterfield	DEM	North Carolina Democratic Party
Roger W. Allison	REP	North Carolina Republican Party
George Holding	REP	North Carolina Republican Party
Jeff Matemu	LIB	North Carolina Libertarian Party
Linda Coleman	DEM	North Carolina Democratic Party
Walter B. Jones	REP	North Carolina Republican Party
Barbara Howe	LIB	North Carolina Libertarian Party
David Price	DEM	North Carolina Democratic Party
Steve A. (Von) Loor	REP	North Carolina Republican Party
DD Adams	DEM	North Carolina Democratic Party
Virginia Foxx	REP	North Carolina Republican Party
B. Mark Walker	REP	North Carolina Republican Party
Ryan Watts	DEM	North Carolina Democratic Party
David W. Fallin	CST	North Carolina Constitution Party
Kyle Horton	DEM	North Carolina Democratic Party
David Rouzer	REP	North Carolina Republican Party
Frank McNeill	DEM	North Carolina Democratic Party
Richard Hudson	REP	North Carolina Republican Party
Dan McCready	DEM	North Carolina Democratic Party
Jeff Scott	LIB	North Carolina Libertarian Party
Mark Harris	REP	North Carolina Republican Party
David Wilson Brown	DEM	North Carolina Democratic Party
Patrick McHenry	REP	North Carolina Republican Party
"Clifton B. Ingram, Jr."	LIB	North Carolina Libertarian Party
Mark Meadows	REP	North Carolina Republican Party
Phillip G. Price	DEM	North Carolina Democratic Party
Alma Adams	DEM	North Carolina Democratic Party
Paul Wright	REP	North Carolina Republican Party
Kathy Manning	DEM	North Carolina Democratic Party
Robert Corriher	GRE	North Carolina Green Party
Ted Budd	REP	North Carolina Republican Party
Tom Bailey	LIB	North Carolina Libertarian Party
